epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.0966,1.17734,2.32912,1.23038,0.49214,0.55145,0.51151,0.32423,1.25753,2.25507,1.27007,0.000414497,0.000414497,0.000414497
2,97.7115,1.2548,1.70151,1.26277,0.63532,0.6389,0.65802,0.4311,1.2268,1.52032,1.24891,0.000798249,0.000798249,0.000798249
3,144.291,1.2572,1.49656,1.26687,0.70776,0.65356,0.73642,0.4852,1.17341,1.29379,1.22229,0.001149,0.001149,0.001149
4,190.356,1.2526,1.36454,1.26982,0.77765,0.67474,0.73926,0.49597,1.16044,1.28413,1.23226,0.0011015,0.0011015,0.0011015
5,236.373,1.23307,1.25883,1.25682,0.82046,0.70896,0.78038,0.51867,1.17047,1.11959,1.20225,0.001052,0.001052,0.001052
6,282.214,1.21687,1.19893,1.24176,0.78009,0.78123,0.8138,0.55559,1.1023,1.02921,1.1674,0.0010025,0.0010025,0.0010025
7,327.926,1.17941,1.11928,1.22858,0.82752,0.76989,0.8364,0.58394,1.06466,0.91099,1.1414,0.000953,0.000953,0.000953
8,373.616,1.16396,1.09273,1.21862,0.82111,0.7727,0.84307,0.59697,1.04453,0.8544,1.14081,0.0009035,0.0009035,0.0009035
9,419.268,1.14575,1.0525,1.20579,0.8228,0.79014,0.85009,0.58319,1.0886,0.81292,1.17152,0.000854,0.000854,0.000854
10,465.002,1.11456,1.01298,1.19685,0.83341,0.80201,0.86257,0.60382,1.05363,0.82994,1.14323,0.0008045,0.0008045,0.0008045
11,510.551,1.11645,0.97947,1.19244,0.87757,0.79385,0.87504,0.63042,1.01677,0.75657,1.11788,0.000755,0.000755,0.000755
12,556.187,1.11476,0.97104,1.18562,0.84925,0.82336,0.8761,0.62589,1.02218,0.77262,1.11781,0.0007055,0.0007055,0.0007055
13,601.879,1.08792,0.94738,1.17424,0.87969,0.78641,0.86983,0.61418,1.03629,0.79303,1.12836,0.000656,0.000656,0.000656
14,647.444,1.08712,0.9282,1.17147,0.87084,0.80372,0.88554,0.64098,0.98287,0.71673,1.10155,0.0006065,0.0006065,0.0006065
15,693.114,1.06189,0.88929,1.15637,0.86457,0.84392,0.89561,0.64917,0.99675,0.69847,1.0896,0.000557,0.000557,0.000557
16,739.472,1.00491,0.73354,1.11296,0.8846,0.83681,0.89522,0.64509,1.00354,0.68863,1.11218,0.0005075,0.0005075,0.0005075
17,785.172,0.99237,0.70499,1.10255,0.88121,0.83333,0.89742,0.65247,0.99524,0.69349,1.09638,0.000458,0.000458,0.000458
18,830.793,0.98383,0.68743,1.09595,0.86421,0.86746,0.90806,0.6644,0.98491,0.67378,1.08752,0.0004085,0.0004085,0.0004085
19,876.564,0.96116,0.65424,1.08445,0.8692,0.84824,0.90762,0.66421,0.97027,0.65107,1.08911,0.000359,0.000359,0.000359
20,922.191,0.94047,0.63696,1.07696,0.88679,0.87179,0.91607,0.67563,0.95122,0.62737,1.07554,0.0003095,0.0003095,0.0003095
21,967.758,0.93682,0.62575,1.0725,0.8945,0.85548,0.91411,0.67535,0.94364,0.61735,1.07352,0.00026,0.00026,0.00026
22,1013.4,0.91344,0.5994,1.06535,0.88579,0.87268,0.9217,0.68731,0.92785,0.60234,1.06474,0.0002105,0.0002105,0.0002105
23,1058.8,0.90478,0.58816,1.05747,0.90695,0.85335,0.92324,0.69337,0.91978,0.58613,1.06093,0.000161,0.000161,0.000161
24,1104.48,0.89801,0.577,1.05387,0.90782,0.86263,0.92142,0.69009,0.92136,0.58322,1.05941,0.0001115,0.0001115,0.0001115
25,1150.17,0.87598,0.55722,1.03816,0.90629,0.86688,0.92467,0.69574,0.9138,0.57345,1.0575,6.2e-05,6.2e-05,6.2e-05
